alpha1;CMV_static_SR;CMMV_independent_SR;CMMV_SR
0.0005;-3.637481394318702;9.08961651736535;11.623778063661277
0.001;-3.642551360270372;8.898475635654918;11.356267500251793
0.003;-3.6603289283378575;8.033826044329876;10.021293947236327
0.005;-3.674103172153839;7.067513266766914;8.474317326304602
