q;Strategy;SR;Mean_Wealth;Std_Wealth;MDD;VaR95;VaR99;CVaR95;CVaR99;Turnover;Kupiec_pval;Avg_TC;Mgmt_Fee
1;CMV-static;-2.7466548107735487;-2.9746469339115045;1.4541357635172054;4.024304432795976;2.3573597420145074;3.2897348789492673;2.928800701958486;3.7498661321810562;0.5328004179251445;9.155119145898283e-06;0.0034929690267364766;0.001
1;CMMV-independent;4.735388696995799;4.24193263914765;0.6805292635684164;0.45157946918373687;0.6948265912437881;1.150341793852152;1.0440409953585452;1.80829674100482;7.687205858300789;0.4091572804367718;0.02962703259412925;0.001
1;CMMV;6.077792002299158;9.25352388328207;1.3547949360057543;0.6127260574197443;1.529454067477661;2.5336922469136773;2.2602650224508887;3.7557904884493816;24.818536385632772;0.3649777114916407;0.09316078704892566;0.001
2;CMV-static;-3.4551354094665316;-3.7598201289655417;1.3832112548591364;4.746022864141594;2.2661239161726074;3.2050021465030936;2.8401111822231098;3.6695329109356285;0.7938492946038681;1.8762375819658672e-07;0.0061985358237397785;0.002
2;CMMV-independent;8.23834827605615;27.42672777445508;3.205419925585603;1.1919263468194798;3.8896478199759734;6.472172753892263;5.649198443481978;9.038623409818545;86.30682331740921;0.4091572804367718;0.3432038577611007;0.002
2;CMMV;9.572741302551846;83.39367034295934;8.605090818084635;2.421359305468829;11.102829584868886;18.41004377175595;15.770416010160204;24.266689826231513;269.3191919504936;0.3649777114916407;1.0638320170927524;0.002
3;CMV-static;-3.5885273526500407;-3.8961894716083108;1.3697963105810496;4.865310594809936;2.24954167564255;3.1955663357949207;2.831756865339544;3.680284778808787;0.8837256553151561;9.155119145898283e-06;0.007198067573517806;0.003
3;CMMV-independent;8.935625652304285;44.23687122249934;4.836539806799501;1.874986239408026;6.129692194153179;10.373832124316046;8.951230943427397;14.197460021764485;156.74920751748905;0.4091572804367718;0.6254621609232704;0.003
3;CMMV;10.70045981032605;178.04348397382162;16.5435995326594;4.360721040272897;22.26041777609771;36.46700536115148;31.416872872970288;47.71201446629743;653.1098832044402;0.3649777114916407;2.5752477591183913;0.003
4;CMV-static;-3.605394717509661;-3.925691862643101;1.3715707451110022;4.8867143653159335;2.261196494385802;3.21019876027527;2.842883051453915;3.7017752940556137;1.0487841919951666;0.0002674168110384789;0.008228133015558057;0.004
4;CMMV-independent;8.991125142278687;51.091958652189916;5.569113520649847;2.2602168743476807;7.174448718211686;12.053609076028174;10.486081123303165;16.65795797222279;215.94643782914886;0.3649777114916407;0.8632755773216023;0.004
4;CMMV;11.300682768826787;270.6709836551165;23.861533600649892;6.262696016972615;32.92466366489529;53.52534570220905;46.0484946353169;69.29212776948512;1147.5406402544763;0.4091572804367718;4.520401474884924;0.004
5;CMV-static;-3.637481394318702;-3.974806274318419;1.3729742614187912;4.9302238456872045;2.2753639234126726;3.2218205189749356;2.856024278528;3.720286914190361;1.1420666295955897;1.8762375819658672e-07;0.00878052973862233;0.005
5;CMMV-independent;9.08961651736535;60.26362951535147;6.517796140870934;2.691722468300021;8.47566902780077;14.227690342595785;12.397941328492031;19.773015837654455;279.1522944847507;0.4091572804367718;1.1133504051082268;0.005
5;CMMV;11.623778063661277;342.13098912155897;29.346020303973706;7.6383974859797865;40.759396844451715;66.02296773575608;56.945675057740345;85.0619052736651;1655.7861222151214;0.4091572804367718;6.5105761713460835;0.005
6;CMV-static;-3.650780875585586;-4.007161966245575;1.3768353111333245;4.958349823312873;2.279759902225452;3.2446701868978653;2.8740171236732186;3.7514535036453065;1.2535305326380366;9.155119145898283e-06;0.009517762080990439;0.006
6;CMMV-independent;9.079666736057947;67.46685838101521;7.318274806349705;3.0143251261011255;9.505102889486786;16.29588759611063;13.994039872440332;22.316501479770416;344.483349669792;0.4091572804367718;1.374755672652708;0.006
6;CMMV;11.834906772631323;405.63195629034004;34.188067722641584;8.910385536934571;47.755061327306976;77.45888335334024;66.6964611109243;99.52381089130859;2139.929372839711;0.3649777114916407;8.413083159216319;0.006
7;CMV-static;-3.654992171617587;-4.029784751176844;1.3814384738923102;4.976816121832413;2.289412003989783;3.242612021341012;2.8869153977203146;3.7727342894010985;1.3401179316324532;0.0002674168110384789;0.009996667832193822;0.007
7;CMMV-independent;9.124485047842303;73.6101930852997;7.955608524559377;3.346795052994076;10.415797004134063;18.029743933470876;15.380278293960785;24.53821936780877;403.6358403173131;0.4091572804367718;1.6075692075296968;0.007
7;CMMV;12.03774529966911;469.80811221296864;38.94323550518914;10.152617423499537;54.70931415182196;89.28560844823346;76.52593383563959;114.30945806662072;2571.859477588201;0.3649777114916407;10.114835490283708;0.007
8;CMV-static;-3.688167040674492;-4.058756549912496;1.3768678452955063;5.005606133443231;2.2804154156848586;3.249895014881643;2.8812439405170736;3.7695929502913517;1.4073645798218797;0.0002674168110384789;0.010488695252876556;0.008
8;CMMV-independent;9.277163780717812;78.67059981029975;8.370148419199369;3.4185825236637366;11.080719107591676;19.05807904455537;16.281763344353152;25.60077895736869;453.6921792252046;0.05774182841919939;1.8076069341505558;0.008
8;CMMV;12.133283086050563;501.05180654499105;41.21163587317923;10.77998281707766;58.176423803344164;94.60178425904371;81.2369617625751;121.20152758513211;2800.979030891871;0.3649777114916407;11.008200142642064;0.008
9;CMV-static;-3.682863546489152;-4.062246046204596;1.3797980942084465;5.006455300730541;2.2877964726593163;3.259674920950781;2.887535371747827;3.7791378659117774;1.4469503379021338;0.0002674168110384789;0.010726582050971552;0.009000000000000001
9;CMMV-independent;9.255354172371197;80.21779581130191;8.557039771773594;3.547202903111108;11.344717191280793;19.49521704892551;16.678459384581444;26.296138399866756;476.35357923445946;0.4091572804367718;1.8970403178332234;0.009000000000000001
9;CMMV;12.185988267742509;520.8286216360523;42.656307240633645;11.186247822214504;60.1090139917697;98.37159471285833;84.16670174721975;125.45651838235534;2993.413510717267;0.3649777114916407;11.756095267911084;0.009000000000000001
10;CMV-static;-3.6803334164865995;-4.064629355821669;1.3813942480097243;5.006926895616956;2.288407670992026;3.2768136462075743;2.892025071580763;3.7840567943181647;1.4841282374655689;0.0002674168110384789;0.010928712515867448;0.01
10;CMMV-independent;9.236748856503096;81.1653135629777;8.676857274308196;3.6228557715275005;11.533552181231798;19.756962526641082;16.927092723342852;26.751634802993586;495.043211045415;0.4091572804367718;1.9702984794894518;0.01
10;CMMV;12.215190337522705;529.8665108668974;43.2942209001779;11.373697067812076;61.21729323528501;99.98197634967329;85.42202935052893;127.15747062617038;3042.960251398577;0.3649777114916407;11.955937955052903;0.01
