"Date","AIG","BA","CAT","IBM","JNJ","MMM","MO","PG","RTX","XOM"
2000-06-30,0.0735315160850682,0.109840656147583,-0.134053111437784,-0.073328552609623,0.455440001902447,-0.0567336810837464,0.302809811808277,0.00465880067026614,-0.0654254588136587,0.0118729846605063
2000-09-30,0.222066898788008,0.547061060370016,-0.0760763423193999,0.0291017305872228,-0.074861728488833,0.104542905639921,0.128378954567976,0.187754948315996,0.182052510151814,0.141345764401914
2000-12-31,0.0304524593757873,0.0254578336883078,0.543414428625035,-0.244322581428434,0.122241751258384,0.330514329402637,0.515352209511157,0.176324022403207,0.137134838445405,-0.0196160951638418
2001-03-31,-0.182902230133801,-0.15337179302538,-0.0548401504857231,0.132818851664644,-0.164653308996479,-0.133190640458967,0.0900571295052759,-0.198010451259664,-0.0650089398879439,-0.0634099076447573
2001-06-30,0.0565001237941691,0.000657558717391593,0.135729880854953,0.181506330690077,0.146434360864572,0.103776518402072,0.0545865898922893,0.025421837476362,0.00229502086886524,0.0839531186569411
2001-09-30,-0.0819875762730139,-0.395643740260706,-0.0990054808454842,-0.190827889325404,0.112535205304068,-0.132769533960202,-0.0125502283675956,0.147142413589733,-0.363287503730442,-0.0928231590648996
2001-12-31,0.0184703793856382,0.163496622329385,0.17505942023108,0.320422715816618,0.069996659259729,0.207527698638233,-0.0385557693782596,0.092955743853862,0.395406259353373,0.00330800498853545
2002-03-31,-0.0909093999544467,0.24939112201283,0.0960274818330125,-0.139077555144297,0.102401529696159,-0.0217486454238646,0.161501637125296,0.143963335234995,0.152199923796716,0.121896958089794
2002-06-30,-0.0535684852954755,-0.0638585816372643,-0.133527811063752,-0.306332375411769,-0.19264792416781,0.074719418781217,-0.160221480035032,0.00310807780851352,-0.0817325800895076,-0.0609948339477807
2002-09-30,-0.197667617261951,-0.238076017601788,-0.233428901017843,-0.188345704116433,0.0386305744254534,-0.101614049954756,-0.0996825873975405,0.00597166725200471,-0.164769562472382,-0.215417143480359
2002-12-31,0.0583953799634582,-0.0281835623062904,0.239565247773784,0.33154860298735,-0.00346327445822814,0.126671417659865,0.0610171478001869,-0.0341071551843507,0.100811661129908,0.102519720222653
2003-03-31,-0.144357421789892,-0.236219712286062,0.0841574184461928,0.0139684615800679,0.0818885330214227,0.060108915090531,-0.247452356206452,0.0411507556469035,-0.0634979493440624,0.00707314941591175
2003-06-30,0.116781327737131,0.37743745332369,0.13886467209724,0.053819912713037,-0.102733951756596,-0.00279979070338043,0.539179190773082,0.0060455145780729,0.23079575827003,0.034788283415004
2003-09-30,0.0468216526406213,0.00553354259432615,0.244221468788438,0.0728166866442643,-0.0376371448027576,0.0759343127797509,-0.0200695071478724,0.0461797309939813,0.0948182402582112,0.0262395413852861
2003-12-31,0.145471161987812,0.237063671689291,0.227005118549396,0.0505802931774653,0.0423275717122151,0.225449136627797,0.249260296618774,0.0789268787657871,0.229166336964312,0.11926536830465
